# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.556850e+01 -2.741024e-03 4.294227e-19) (2.001855e-01 -1.441650e-05 -1.227578e-19) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.084669e-18 2.996503e-19 -4.218024e-12) (1.036448e-19 -2.855160e-20 8.086210e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.814009e-01 2.551316e-03 1.211601e-21) (1.749571e-01 -9.568268e-07 -3.172890e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.929473e-20 5.958914e-21 3.770363e-12) (8.842739e-22 -4.380530e-21 6.724042e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.049747e-01 -1.065587e-04 8.806370e-22) (1.589904e-01 -1.257829e-06 -2.901249e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.838451e-20 5.234342e-21 9.153658e-14) (8.352160e-22 -3.924402e-21 5.853923e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.455236e-01 -4.826603e-05 -7.158472e-23) (1.470507e-01 -1.425354e-06 -2.270444e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.026697e-20 4.164856e-21 -1.689822e-14) (5.164674e-22 -3.590628e-21 5.302361e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.337999e-01 -2.393779e-05 -6.525895e-22) (1.368445e-01 -1.460281e-06 -2.047536e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.864494e-20 3.876953e-21 -4.530244e-14) (5.079677e-22 -3.340727e-21 4.799274e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.261724e-01 -1.105160e-05 -1.163529e-21) (1.279112e-01 -1.430379e-06 -1.881078e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.756780e-20 3.677026e-21 -5.150669e-14) (5.154162e-22 -3.124578e-21 4.344280e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.196634e-01 -4.175711e-06 -1.615170e-21) (1.200101e-01 -1.370342e-06 -1.741718e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.664990e-20 3.506828e-21 -4.938224e-14) (5.222255e-22 -2.933655e-21 3.934691e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.137378e-01 2.754844e-06 -2.014215e-21) (1.129759e-01 -1.283418e-06 -1.621396e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.582187e-20 3.355665e-21 -4.630069e-14) (5.263443e-22 -2.763632e-21 3.566308e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((1.082868e-01 6.589710e-06 -2.366462e-21) (1.066832e-01 -1.184895e-06 -1.516535e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.506653e-20 3.218943e-21 -4.268438e-14) (5.280639e-22 -2.611317e-21 3.235609e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((1.032792e-01 8.625321e-06 -2.678223e-21) (1.010320e-01 -1.083403e-06 -1.424860e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.437553e-20 3.094055e-21 -3.904668e-14) (5.278793e-22 -2.474217e-21 2.939394e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
